_archivo,id_modelo,referenciaWeb,modelo,url,title,allDescs
142585712.json,142585712,Código de barras：8433325416072,8433325402921,https://www.aigostar.com/ES/productCategory/1836323498503573514,Foco con sensor solar LED-120W-6500K-1200lm-IP66-Sensor de movimiento,"Características
Color del producto:
Gris
Tipo de sensor:
Sensor de movimiento
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
26650
Color de la luz:
Luz fría|Especificación
Dimensión:
L199*W191*H45mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L205*W300*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
120W
Voltaje:
DC3.4V
Current:
2140mA
Temperatura del color:
6500K
Caudal luminoso:
1200lm
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Ángulo de detección:
120°
Distancia de detección:
6-8m
Tiempo de carga:
4-6h
Potencia del panel solar:
10W
Tensión del panel solar:
DC5V
Corriente del panel dólar:
2000mA|Aplicación de medio ambiente
Clasificación del IP:
IP66
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
8000mAh
Peso neto de un solo producto:
1.45kg|Vida
Mantenerse encendido:
20s
Vida útil:
30000h|Material
Material principal:
Plástico,PC|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de papel kraft
Cantidad del paquete externo:
10 pc/Caja de cartón"
142585713.json,142585713,Código de barras：8433325211875,8433325211875,https://www.aigostar.com/ES/productCategory/1547785368030548558,Lámpara LED con panel solar 40W 410lm 6500K IP67,"Características
categoría:
Focos solares
Modelo:
01
Color del producto:
Negro
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
32650
Color de la luz:
Luz fría|Especificación
Dimensión:
L230*W52*H190 mm
Tipo de panel solar:
Silicona policristalina
Dimensiones del panel solar:
L350*W290*H17mm
Longitud del cable:
Panel solar: 5 m/Luz: 0,5 m|Parámetros técnicos
Potencia:
40W
Voltaje:
DC3.2V
Current:
1300mA
Frecuencia:
50/60Hz
Temperatura del color:
6500K
Caudal luminoso:
410lm
CRI:
Ra≥70
DF:
≥0.9
Ángulo de haz:
120°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
12W
Tensión del panel solar:
DC6V|Aplicación de medio ambiente
Clasificación del IP:
IP67
Entorno de uso:
Exterior
Temperatura:
-20℃～40℃|Volumen
Capacidad de batería:
10000mAh
Peso neto de un solo producto:
1.025kg|Vida
Vida útil:
20000h|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
16 pc/Caja de cartón"
142585714.json,142585714,Código de barras：8433325211899,8433325211899,https://www.aigostar.com/ES/productCategory/1547785368030548560,Lámpara LED con panel solar 100W 1100lm 6500K IP67,"Características
categoría:
Focos solares
Modelo:
01
Color del producto:
Negro
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Tipo de batería:
32650
Color de la luz:
Luz fría|Especificación
Dimensión:
L310*W80*H260 mm
Tipo de panel solar:
Silicona policristalina
Dimensiones del panel solar:
L350*W530*H17mm
Longitud del cable:
Panel solar: 5 m/Luz: 0,5 m|Parámetros técnicos
Potencia:
100W
Voltaje:
DC3.2V
Current:
3600mA
Temperatura del color:
6500K
Caudal luminoso:
1100lm
CRI:
Ra≥70
Ángulo de haz:
120°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
25W
Tensión del panel solar:
DC6V|Aplicación de medio ambiente
Clasificación del IP:
IP67
Entorno de uso:
Exterior
Temperatura:
-20℃～40℃|Volumen
Capacidad de batería:
20000mAh
Peso neto de un solo producto:
1.865kg|Vida
Vida útil:
20000h|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
10 pc/Caja de cartón"
142585715.json,142585715,Código de barras：8433325212025,8433325212025,https://www.aigostar.com/ES/productCategory/1547785368030548724,Lámpara LED con panel solar 300W 2400lm 6500K IP65,"Características
categoría:
Focos solares
Modelo:
02
Color del producto:
Gris
Pilas incluídas o no:
Sí
Tipo de batería:
Batería de fosfato de hierro y litio
Color de la luz:
Luz fría|Especificación
Dimensión:
L285*W352*H43 mm
Tipo de panel solar:
Monocristalino
Dimensiones del panel solar:
L350*W350*H17mm
Longitud del cable:
2m|Parámetros técnicos
Potencia:
300W
Voltaje:
DC3.2V
Current:
3750mA
Temperatura del color:
6500K
Caudal luminoso:
2400lm
CRI:
Ra≥70
Ángulo de haz:
90°
Hg(mg):
0
Autonomía de funcionamiento:
MAX.12h
Nivel de seguridad de la luminaria:
III
Tiempo de carga:
4-6h
Potencia del panel solar:
30W
Tensión del panel solar:
DC5V|Aplicación de medio ambiente
Clasificación del IP:
IP65
Entorno de uso:
Exterior
Temperatura:
-10℃～50℃|Volumen
Capacidad de batería:
25000mAh
Peso neto de un solo producto:
4.8kg|Vida
Vida útil:
50000h|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
2 pc/Caja de cartón"
142585716.json,142585716,"Código de barras：8433325408541
Color de la luz：Luz natural
Potencia：100W
Temperatura del color：4000K
Caudal luminoso：8700lm
Clasificación del IP：IP65",8433325408541,https://www.aigostar.com/ES/productCategory/1808401715997839360,Foco LED 100W 4000K Blanco,"Características
Color del producto:
Blanco
Color de la luz:
Luz natural|Especificación
Dimensión:
L270*W222*H27mm
Cable:
3*1.0mm²
Longitud del cable:
30cm|Parámetros técnicos
Potencia:
100W
Voltaje:
220-240V～
Current:
500mA
Frecuencia:
50/60Hz
Temperatura del color:
4000K
Caudal luminoso:
8700lm
CRI:
Ra≥70
DF:
≥0.9
Ángulo de haz:
110°
Hg(mg):
0
Equivalencia en bombilla incandescente:
400W
EEI:
F
Nivel de seguridad de la luminaria:
I|Aplicación de medio ambiente
Clasificación del IP:
IP65
Entorno de uso:
Interior y exterior
Temperatura:
-20℃～40℃|Volumen
Peso neto de un solo producto:
990g|Vida
Vida útil:
25000h|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
10 pc/Caja de cartón"
142585718.json,142585718,"Código de barras：8433325408657
Color de la luz：Luz natural
Potencia：20W
Temperatura del color：4000K
Caudal luminoso：1650lm
Clasificación del IP：IP65",8433325408657,https://www.aigostar.com/ES/productCategory/1808401715997839371,Proyector LED con sensor 20W 4000K blanco,"Características
Color del producto:
Blanco
Tipo de sensor:
Detección de luz&Sensor de movimiento
Color de la luz:
Luz natural|Especificación
Dimensión:
L170*W120*H53mm
Cable:
3*1.0mm²
Longitud del cable:
30cm|Parámetros técnicos
Potencia:
20W
Voltaje:
220-240V～
Current:
100mA
Frecuencia:
50/60Hz
Temperatura del color:
4000K
Caudal luminoso:
1650lm
CRI:
Ra≥70
DF:
≥0.7
Ángulo de haz:
110°
Hg(mg):
0
Equivalencia en bombilla incandescente:
80W
EEI:
F
Nivel de seguridad de la luminaria:
I
Ángulo de detección:
120°
Distancia de detección:
2-10m|Aplicación de medio ambiente
Clasificación del IP:
IP65
Entorno de uso:
Interior y exterior
Temperatura:
-20℃～40℃|Volumen
Peso neto de un solo producto:
260g|Vida
Mantenerse encendido:
8-600s
Vida útil:
25000h|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
40 pc/Caja de cartón"
142585719.json,142585719,"Código de barras：8433325408695
Color de la luz：Luz natural
Potencia：30W
Temperatura del color：4000K
Caudal luminoso：2510lm
Clasificación del IP：IP65",8433325408695,https://www.aigostar.com/ES/productCategory/1808401715997839375,Proyector LED con sensor 30W 4000K blanco,"Características
Color del producto:
Blanco
Tipo de sensor:
Detección de luz&Sensor de movimiento
Color de la luz:
Luz natural|Especificación
Dimensión:
L189*W150*H53mm
Cable:
3*1.0mm²
Longitud del cable:
30cm|Parámetros técnicos
Potencia:
30W
Voltaje:
220-240V～
Current:
150mA
Frecuencia:
50/60Hz
Temperatura del color:
4000K
Caudal luminoso:
2510lm
CRI:
Ra≥70
DF:
≥0.9
Ángulo de haz:
110°
Hg(mg):
0
Equivalencia en bombilla incandescente:
120W
EEI:
F
Nivel de seguridad de la luminaria:
I
Ángulo de detección:
120°
Distancia de detección:
2-10m|Aplicación de medio ambiente
Clasificación del IP:
IP65
Entorno de uso:
Interior y exterior
Temperatura:
-20℃～40℃|Volumen
Peso neto de un solo producto:
360g|Vida
Mantenerse encendido:
8-600s
Vida útil:
25000h|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
20 pc/Caja de cartón"
142585720.json,142585720,"Código de barras：8433325408725
Color de la luz：Luz natural
Potencia：50W
Temperatura del color：4000K
Caudal luminoso：4300lm
Clasificación del IP：IP65",8433325408725,https://www.aigostar.com/ES/productCategory/1808401715997839378,Foco LED 50W 4000K Blanco,"Características
Color del producto:
Blanco
Color de la luz:
Luz natural|Especificación
Dimensión:
L180*W150*H27mm
Cable:
3*1.0mm²
Longitud del cable:
30cm|Parámetros técnicos
Potencia:
50W
Voltaje:
220-240V～
Current:
250mA
Frecuencia:
50/60Hz
Temperatura del color:
4000K
Caudal luminoso:
4300lm
CRI:
Ra≥70
DF:
≥0.9
Ángulo de haz:
110°
Hg(mg):
0
Equivalencia en bombilla incandescente:
200W
EEI:
F
Nivel de seguridad de la luminaria:
I|Aplicación de medio ambiente
Clasificación del IP:
IP65
Entorno de uso:
Interior y exterior
Temperatura:
-20℃～40℃|Volumen
Peso neto de un solo producto:
440g|Vida
Vida útil:
25000h|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
20 pc/Caja de cartón"
142585722.json,142585722,"Código de barras：8433325310714
Color de la luz：Luz fría
Potencia：30W
Temperatura del color：6500K
Caudal luminoso：2700lm
Clasificación del IP：IP65",8433325000851,https://www.aigostar.com/ES/productCategory/1627483915226845186,Proyector LED negro 30W,"Características
Color del producto:
Negro
Color de la luz:
Luz fría|Especificación
Dimensión:
L142*W112*H27mm
Cable:
3*1.0mm²
Longitud del cable:
22.5cm|Parámetros técnicos
Potencia:
30W
Voltaje:
220-240V～
Current:
125mA
Frecuencia:
50/60Hz
Temperatura del color:
6500K
Caudal luminoso:
2700lm
CRI:
Ra≥70
DF:
≥0.9
Ángulo de haz:
110°
Hg(mg):
0
Equivalencia en bombilla incandescente:
120W
EEI:
F
Nivel de seguridad de la luminaria:
I|Aplicación de medio ambiente
Clasificación del IP:
IP65
Entorno de uso:
Interior y exterior
Temperatura:
-20℃～40℃|Volumen
Peso neto de un solo producto:
290g|Vida
Vida útil:
25000h
Frecuencia de conmutación:
15000times|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de papel kraft
Cantidad del paquete externo:
60 pc/Caja de cartón"
142585723.json,142585723,"Código de barras：8433325000899
Color de la luz：Luz natural
Potencia：20W
Temperatura del color：4000K
Caudal luminoso：1800lm
Clasificación del IP：IP65",8433325000899,https://www.aigostar.com/ES/productCategory/1853638059757801489,Lámpara de enfoque LED-20W-4000K-1800lm-IP65,"Características
Color del producto:
Negro
Color de la luz:
Luz natural|Especificación
Dimensión:
L111*W87*H27mm
Cable:
3*1.0mm²
Longitud del cable:
22.5cm|Parámetros técnicos
Potencia:
20W
Voltaje:
220-240V～
Current:
83mA
Frecuencia:
50/60Hz
Temperatura del color:
4000K
Caudal luminoso:
1800lm
CRI:
Ra≥70
DF:
≥0.7
Ángulo de haz:
105°
Hg(mg):
0
EEI:
F
Nivel de seguridad de la luminaria:
I|Aplicación de medio ambiente
Clasificación del IP:
IP65
Entorno de uso:
Interior y exterior
Temperatura:
-20℃～40℃|Volumen
Peso neto de un solo producto:
193g|Vida
Vida útil:
25000h
Frecuencia de conmutación:
15000times|Material
Material principal:
De aluminio,Vidrio|Certificación
Certificación:
CE,RoHS|Embalaje
Unidad paquete cantidad:
1 pc/Caja de color
Cantidad del paquete externo:
80 pc/Caja de cartón"
