description,desc,desc2,id_modelo,idioma_detectado
"EAN: 4031177002333
� See more product details",,"Pantalla de metal de acero inoxidable (18 CR 9 ni) en cajas de pl�stico, que se pueden unir y apilar, cinta de 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505439,spa
"EAN: 4031177003330
� See more product details",,"De metal con pantalla de lat�n (ms 63) en cajas de pl�stico, que se pueden unir y apilar, pantalla de banda 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505406,spa
"EAN: 4031177003262
� See more product details",,"De metal con pantalla de lat�n (ms 63) en cajas de pl�stico, que se pueden unir y apilar, pantalla de banda 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505402,spa
"EAN: 4031177002296
� See more product details",,"Pantalla de metal de acero inoxidable (18 CR 9 ni) en cajas de pl�stico, que se pueden unir y apilar, cinta de 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505438,spa
"EAN: 4031177002319
� See more product details",,"Pantalla de metal de acero inoxidable (18 CR 9 ni) en cajas de pl�stico, que se pueden unir y apilar, cinta de 150 x 2500 mm. Para aparatos de herramientas de configurar, ajustar, grosor de las tolerancias, ajustar los dispositivos de inferioridad, crear formas, juego de almacenamiento, etc. compensar las tolerancias lat�n, acero inoxidable). material de tolerancia de 0,01 � 0,03 mm 0,002 mm de grosor: 0,04 � 0,05 mm 0,003 mm 0,06 � 0,18 mm 0,005 mm, 0,20 � 0,30 mm 0,007 mm 0,04 � 0,50 mm 0,010 mm",142505437,spa
"About this item
For road bike
stainless
technician","Product details
Is discontinued by manufacturer ? : ? No
Product Dimensions ? : ? 100 x 3 x 3 cm; 100 g
Date First Available ? : ? 9 Aug. 2012
Manufacturer ? : ? Campagnolo
ASIN ? : ? B001GSQRTI
Item model number ? : ? 25-CG-CB009
Department ? : ? Unisex
Best Sellers Rank: 171,421 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
337 in Cables (Sports & Outdoors)
Customer reviews: 3.9 
3.9 out of 5 stars
    50 ratings",,142481384,eng
"About this item
Clothesline on a compact stand
Heavy duty nylon rope
Tangle Free
In a convenient container, making it compact to carry and tangle free
Stretched length: 6.4 m","Product details
Is discontinued by manufacturer ? : ? No
Product Dimensions ? : ? 7.5 x 7.5 x 4.5 cm; 50 g
Date First Available ? : ? 6 Aug. 2012
Manufacturer ? : ? Coghlan's
ASIN ? : ? B001QBZM4Q
Item model number ? : ? 8512
Country of origin ? : ? China
Department ? : ? mens","21ft Heavy Duty Nylon Clothesline In a convenient container, making it compact to carry and tangle free. For indoor and outdoor use, moisture and UV resistant. Ideal for use in motorhomes, caravans and tents.",142428052,eng
"Maintenance-free.
Stainless steel cable end fittings.
Heavy-duty blue outer jacket against abrasion, UV and chemicals","Product details
Is discontinued by manufacturer ? : ? No
Product Dimensions ? : ? 43.18 x 43.18 x 5.08 cm; 635.03 g
Date First Available ? : ? 30 Oct. 2013
Manufacturer ? : ? UFLEX USA INC
ASIN ? : ? B002IV52MA
Item model number ? : ? MACH14X10","Mach Series High Efficiency and Flexibility Motor Control Cable - JOHNSON/Evinrude/OMC - 10' Mach14 - Current BRP (OMC) Style (as C14) Mach14 Strokes: 75mm (3""). For BRP - EVINRUDE (OMC engines) manufactured from 1979 to date. Designed for high performance applicationsFor the ultimate in efficiency and responsiveness, the Mach Series Cables deliver unprecedented results. They have been specifically designed to make even the most complex of cable installations result in smooth, easy and accurate shifting and throttle movement.Featuring a braided core with lubricated extrusion, the Mach laying cables are an ideal solution for applications with long cable, bending, reduced or where easy and accurate throttle response is required. ach cables are the result of our decades of experience in producing high-quality, long-lasting, flexible cables.The innovative core design maximizes efficiency and minimizes movement loss, while the unique duct design provides extremely high level of flexibility. Features: Suitable for - Outboard Inboard and SternDrive EnginesHigh Efficiency for Smooth OperationHigh Flexibility to Reduce Bend RadiusIdeal for Long Complex Cable RoutingMaintenance Freestainless Steel Cables End FittingsBlue Outer Jacket Resists Against Abrasion, UV Rays and Chemicals",142233431,eng
,"Product details
Date First Available ? : ? 18 July 2020
Manufacturer ? : ? MPS
ASIN ? : ? B002XSW1DQ
Item model number ? : ? 5055","MPS 5055 HSS Metal Hole Saw

For hand or foot drills.
With variable tooth division (variodent).
Diameter: 55 mm.
Maximum cutting depth: 32 mm.
Suitable for: steel, non-ferrous and light metals, casting, nailed wood, particle board (MDF), plywood boards, plasterboard and plastics, stainless steel.
Low vibration, so less heat generation during cutting.
High concentricity
Even cut.
Color: Red",142505289,eng
,"Product details
Package Dimensions ? : ? 12 x 10 x 10 cm; 150 g
Date First Available ? : ? 16 July 2020
Manufacturer ? : ? MPS
ASIN ? : ? B002XSW1EU
Item model number ? : ? 5064","MPS 5064 HSS-Bi - Sierra perforadora para metal

Para taladros manuales o de soporte.
Con divisi�n de dientes variables (diente de vario).
Di�metro: 64 mm.
Profundidad de corte m�xima de 32 mm.
Adecuado para: acero, metales no ferrosos y ligeros, fundici�n, madera con clavos, aglomerado (MDF), hojas de madera contrachapada, placas de yeso y pl�sticos, acero inoxidable.
Baja vibraci�n, por lo tanto, menos calor durante el corte.
Alta precisi�n de concentricidad
Corte uniforme.
Color: rojo.",142505293,spa
"DIN EN ISO 9001
� See more product details",,"With variable pitch teeth, the so-called Vario. The various teeth guarantees: � Less vibration � this less heat during cutting and a longer service life � Higher concentricity accuracy � Interface � Depth type up to 32 mm for clean, circular holes in steel, multi-coloured and easy to cast, metals, wood with nails, chipboard (MD), plywood, plaster, cardboard and plastics. Also suitable for stainless steel.",142505296,eng
,"Product details
Package Dimensions ? : ? 12 x 10 x 10 cm; 150 g
Date First Available ? : ? 13 Mar. 2024
Manufacturer ? : ? MPS
ASIN ? : ? B002XSY3KK
Item model number ? : ? 5059",,142505291,fra
"About this item
The bi-metal hole saw with teeth vario cutting a cutting depth of up to max. 1.26 inches (32mm)
For use in hand drills, Hmaschinen boron hammers and hammer drills (impact is off)
Suitable for cutting steel, non-ferrous and light metals (with corresponding cooling), cast iron, wood with nails, plywood, plasterboard and plastics
� See more product details",,Recording is not included in the box contents.,142505295,eng
,,,142505301,vacio
,,,142505269,vacio
"About this item
Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5121
� See more product details",,Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5121,142505251,por
"About this item
Las sierras de br�jula bi-metal con una profundidad de corte de hasta dientes convertibles bidireccionales de 32 mm
Adecuado para cortar acero, abigarrado y metales ligeros (con refrigeraci�n adecuada), fundici�n, madera con clavos, madera contrachapada, placas de yeso y pl�sticos
Para uso en taladros manuales, St�nderborhmaschinen y Stopers (v�lvula de cierre)","Product details
Date First Available ? : ? 19 July 2020
Manufacturer ? : ? MPS
ASIN ? : ? B002XT19VA
Manufacturer reference ? : ? 5020",,142505263,spa
"Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5024
� See more product details",,Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5024,142505268,spa
"Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5037
� See more product details",,Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5037,142505276,spa
,,,142505285,vacio
"About this item
The bi-metal hole saw with teeth vario cutting a cutting depth of up to max. 1.26 inches (32mm)
For use in hand drills, Hmaschinen boron hammers and hammer drills (impact is off)
Suitable for cutting steel, non-ferrous and light metals (with corresponding cooling), cast iron, wood with nails, plywood, plasterboard and plastics","Product details
Date First Available ? : ? 19 July 2020
Manufacturer ? : ? MPS
ASIN ? : ? B002XT32K6
Manufacturer reference ? : ? 5032",,142505273,eng
,,,142505292,vacio
"Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5016
� See more product details",,Sierras de corona. Corona HSS-Bimet�licas- Modelo: 5016,142505258,spa
,,,142505275,vacio
"About this item
MPS - Hole saw (HSS bi-metal, with Vario teeth, 40 mm)
Saw Blade
� See more product details",,,142505278,por
"About this item
Viene con garant�a de fabricante
Encaja m�ltiples marcas y modelos (contactar con el vendedor con su veh�culo para realizar informaci�n de compatibilidad)",,Este art�culo est� dise�ado para adaptarse a veh�culos espec�ficos. Por favor correcta parte realizar antes de comprar este proyecto. P�ngase en contacto con el vendedor directamente para m�s informaci�n del producto y disponibilidad.4way Blde FSE HLDR W Luc.,142213694,spa
"OMB 26000 Monomagix 30 Wall TV
Product type: FLAT SCREEN BRACKET
Brand: Omb
Colour: silver
� See more product details",,"? Wall mount with a hinge, for small TV or monitor.
? Its support plane rotates 180�-360� and vertical inclination +-20� allows for optimal viewing.
? TV size 19 inch
? Maximum weight of 30 kg.
? Colour: silver",142531070,eng
"About this item
Acuario bomba, universal, bomba fuente
m�x. Altura de extracci�n: 300 cm
Caudal m�x.: 2700l/h
Variable/con adaptador pieza tambi�n externamente reutilizable
220 V/45 W
� See more product details",,"BOMBA SYNCRA 2.0 - 2150L/H - H 200CM - 1,5 MT CABLE c/Toma Tierra",142536427,spa
"Honeywell MK3580-31A38 Barcode Reader Black
� See more product details",,"If you're passionate about IT and electronics, like being up to date on technology and don't miss even the slightest details, buy Barcode Reader Honeywell MK3580-31A38 Black at an unbeatable price. The Honeywell QUANTUM T reader is a combination of omnidirectional and single-line reader. Omni-directional mode delivers unsurpassed performance for all one-dimensional codes including GS1 DataBar (formerly RSS). The single-line mode selected by a button serves to read a specific code in a set of codes or when selecting one from a code menu. QUANTUM T is designed to be used in point-of-sale applications and in places where space is limited. The reader's main cable is located at the top of the reader for easy mounting and the auxiliary connector gives users access to all input/output signals, giving you the flexibility to connect to external speakers, buttons, and spotlights. Brand Honeywell Model MK3580-31A38 USB Connection Scanning Speed 1650 lines per second omnidiretional Scanning field Depth of reading field (programmable) - 25mm - 279mm for 0.33mm barcode Reading field width",142489103,eng
,"Date First Available ? : ? 15 Oct. 2012
Manufacturer ? : ? Forma
ASIN ? : ? B006VB4LC0
Item model number ? : ? 839_14433
Department ? : ? Hombre",,142537521,ron
"About this item
Quality and precision at your fingertips
� See more product details",,Ruko -245004RO-Set of 15 taps in plastic case,142503529,eng
"About this item
DGS-108/B
0790069368233
Network Switches
� See more product details",,"Other Features:
Stackable: No
Auto MDI / MDI-X: Yes
Full duplex: Yes
Quality of Service (QoS) support: Yes
Basic switching RJ-45 Ethernet ports quantity: 8
Switching capacity: 16 Gbit/s
Certification: FCC Class B, ICES-003 Class B, CE Class B, C-Tick Class B, VCCI Class B, cUL, CB, RoHS
Weight: 160 g.
Power consumption (typical): 2.8 W
Input Current: 1
Dimensions (WxDxH): 162 x 102 x 28 mm
DC input plug: Yes
Networking standards: IEEE 802.1p,IEEE 802.3,IEEE 802.3ab,IEEE 802.3az,IEEE 802.3u,IEEE 802.3x
Save and Forward: Yes
LED indicators: Link,Power
Operating temperature (T-T): 0 - 50 �C
Jumbo Frames, Support: Yes
MAC, address filter: Yes
Case material: metal.
Packet buffer: 0.128 MB
Rack Mounting: No
Weight: 440g
Support 10G: Yes
Flow control support: Yes
Maximum data transfer rate: 1 Gbit/s
Supported data transfer rates: 10/100/1000 Mbps
Copper ethernet cabling technology: 1000BASE-T,100BASE-TX,10BASE-T
Connectivity technology: Wired
Data transfer rate: 2000 Mbit/s
Input voltage: 5",142530704,eng
,"Product details
ASIN ? : ? B008XG1NB8
Manufacturer reference ? : ? 8412119314343",,142487069,eng
"About this item
Apto para acuarios.
Materiales utilizados - Material el�ctrico
Fuente de alimentaci�n el�ctrica de 220 voltios.
� See more product details",,"BOMBA SUMERG. EXTREMA -2500 l/h - H 250 cm- CABLE 1,5m",142536382,spa
,,"BOMBA SUMERG. SUPREMA - 4000 l/h - H 250 cm- CABLE 1,5m",142536384,lin
,,,141793435,vacio
,,,141794141,vacio
,,,141791114,vacio
,,,141791132,vacio
,,"Este aspecto es simplemente un chopper. En cualquier momento c�modo de viaje! Todos los componentes est�n pulidos y cromados, as� como perfectamente adaptados al car�cter del motor. El socio, gracias al c�modo coj�n de espalda, puede viajar relajado y transmite la sensaci�n de seguridad.

Superficie con acabado de alta calidad.
Se puede combinar sin problemas con los soportes de bajo en C correspondientes, los soportes de cuero para bolsos o los portaequipajes.
No se necesita certificado de aptitud t�cnica general (ABE) o registro de datos.",141791143,spa
,,"Todos los bolsillos laterales de Hepco & Becker o de piel o maletas con grabaci�n de sonido en C se pueden fijar a la moto con la ayuda de soportes espec�ficos del modelo. El discreto y elegante dise�o encaja perfectamente en la l�nea general del veh�culo. Por supuesto, una distancia de seguridad suficiente de los bolsillos al extremo del tubo de escape caliente. Gracias a la tecnolog�a C-Bow, las bolsas se colocan r�pida y f�cilmente en el soporte C-Bow con un solo clic y se fijan mediante una llave. Las bolsas est�n firmemente conectadas a la moto y permanecen en posici�n incluso con la carga. Los intermitentes permanecen en la posici�n original. Tenga en cuenta las instrucciones de montaje y las indicaciones espec�ficas del modelo.

Tirantes s�lidos para la inclusi�n de Hepco & Becker C-Bow bolsillos laterales y maletas.
Revestimiento de calidad.
Ajuste perfecto, dise�o espec�fico del modelo de la l�nea de la moto.
Malet�n r�gido normal Hepco & Becker como el Junior o Journey.
El malet�n Krauser K-Wing no se ajusta al soporte C-Bow.
El portador est� dise�ado de forma mucho m�s discreta que un portaequipajes lateral normal y por lo tanto no es adecuado para grandes cargas.
Carga recomendada: 5 kg por bolsa (por favor, tenga en cuenta las instrucciones de montaje, indicaciones espec�ficas del veh�culo, as� como datos del fabricante de la motocicleta).
Se pueden combinar sin problemas con portaequipajes, barras de sisal o solares (ten en cuenta las instrucciones de instalaci�n o las indicaciones espec�ficas del veh�culo).
Los ampliaciones del puente del equipaje pueden limitar el montaje de los bolsillos en el soporte.
Portaequipajes no necesita ABE o registro en los papeles.",141792544,spa
,,"Portaequipajes compuesto por un kit de montaje espec�fico para el modelo y la placa adaptadora de rejilla de aluminio para la grabaci�n de Hepco & Becker Topcases o equipaje blando (no apto para Topcases con placa de pl�stico universal).
Las barras de aluminio Hepco & Becker est�n especialmente dise�adas para nuestras carcasas. Como sucesor de la probada tuber�a equipaje puentes se el aluminio rack como consecuente desarrollo y para motocicletas de la generaci�n m�s joven. Cada portaequipajes de aluminio se ha desarrollado espec�ficamente para cada modelo y se adapta a la armon�a general de la motocicleta. Gracias a la fabricaci�n de aluminio de alta calidad en combinaci�n con un soporte de acero, el rack de aluminio tiene una alta resistencia, as� como un aspecto muy elegante. Puntos de fijaci�n adicionales para correas de equipaje, por ejemplo, para fijar ruedas de equipaje, est�n integrados en el dise�o del rack.

Construcci�n s�lida.
Contenido del env�o: soporte de aluminio espec�fico para el modelo + kit de montaje + instrucciones de montaje (idioma espa�ol no garantizado).
No se necesita ning�n otro adaptador para la carcasa superior.
Superficie con acabado de alta calidad.
Carga recomendada: 5 kg de carga en el portaequipajes (por favor, tenga en cuenta las indicaciones espec�ficas del veh�culo, las instrucciones de montaje que se han proporcionado, as� como las indicaciones del fabricante de la motocicleta).
Funciona t�cnicamente casi igual al portaequipajes Easyrack, solo que el asa se sube r�gidamente.
El modelo espec�fico del soporte es igual en el Easyrack y en el rack de aluminio.
Para la inclusi�n del aluminio Topcases 35 se necesita un soporte especial (N�mero de art�culo: 700007350 o 700007351).
Portaequipajes no necesita ABE o registro",141792283,spa
,,"NWS 022-OW-72-115 - 4.5"" Side Cutter - Micro Finish - Inductively Hardened Plastic Cutting Edges - Precision Cutting Edge for the Best Cables Slim - Tapered - Chamfered Head for Very Fine Work - Tight Fit Joint Movement with Box Joint and Spring Opening Plastic Coated Handles Made of Special Tool Steel - Forged, Oil Hardened",142503471,eng
"About this item
Junta extremo de la cubierta","Product details
Package Dimensions ? : ? 1 x 1 x 1 cm; 100 g
Date First Available ? : ? 5 Oct. 2017
Manufacturer ? : ? ITT INDUSTRIES
ASIN ? : ? B00DH3RF14
Item model number ? : ? 002917","Junta final,",142521371,fra
,,,142521019,vacio
"About this item
Invisible beauty with a custom design
Simple and safe operation via the low-power Bluetooth Handlebar Remote
Bluetooth intercom up to 1 mile. Conversation via four-way intercom; Universal Intercom
Music sharing; Built-in FM radio with station finder and save function
Voice instructions; Smartphone app for iPhone and Android",,"The Sena 10U for Arai Full Face Helmet is a Bluetooth communication system for bikes with Handlebar Remote designed for the Arai Integral helmet.

With Bluetooth 4.0 technology, the 10U is an invisible beauty with a custom design that fits into the helmet's ear pockets allowing for easy, versatile wear. The 10U includes four-way intercom conversations up to 1 mile with Universal Intercom and Group Intercom technology, as well as intuitive voice instructions. Using innovative technology, the 10U offers safe and easy operations with a remote control, as well as a two-button control pad for emergency control.

If it's not enough to hit the road with ease and powerful connectivity, other key features include music sharing, built-in FM radio tuner, Advanced Noise Control, external wired antenna for the helmet with installation, up to 10 hours of talk time, and a smartphone app for iPhone and Android, all with upgradeable firmware.",142468055,eng
"Cortes r�pidos en el metal / acero, chapas de acero, tubos de acero, secciones abiertas
Bi-Metal Sabre hoja de sierra Longitud total 230/210 mm de longitud de trabajo
� See more product details",,,142505149,spa
"Cortes r�pidos en madera con clavos, construcci�n, paleta de metal / acero / aluminio, tubos de acero, metales no ferrosos
Bi-Metal Sabre hoja de sierra Longitud total 230/210 mm de longitud de trabajo
� See more product details",,,142505174,spa
"About this item
Quick cuts in wood with nails, remodeling frames/windows, metal/steel, sheet steel, non-ferrous metals/aluminum, steel pipes
� See more product details",,,142505163,eng
"Cortes r�pidos en madera con clavos, construcci�n, paleta de metal / acero / aluminio, tubos de acero, metales no ferrosos
Bi-Metal Sabre hoja de sierra Longitud total 200/180 mm de longitud de trabajo
� See more product details",,,142505172,spa
,"Date First Available ? : ? 1 Dec. 2016
Manufacturer ? : ? VIVOBAREFOOT
ASIN ? : ? B00M7QJ1X2
Manufacturer reference ? : ? 220002-0138","Thermal inlegzool voor dames met goed isolerend vermogen, perfect om de kou buiten te houden bij winterse omstandigheden.",141901512,nld
"Replacement lamp for pond greenreset
Easy to replace
lagerm��ig to be in stock","Product details
Product Dimensions ? : ? 10 x 20 x 20 cm; 1 kg
Date First Available ? : ? 27 Mar. 2015
Manufacturer ? : ? Sicce
ASIN ? : ? B00N9TYW62
Item model number ? : ? 998120
Customer reviews: 3.9 
3.9 out of 5 stars
    6 ratings",UVC Lamp 20W for Green Reset 40L,142536451,eng
"Quality product
Easy to use
Durable Material
Product created for both amateurs and professionals
� See more product details",,Vogel 302458 flat leg outdoor compass din 6484 measure 500 mm.,142505416,eng
"About this item
Quality and precision at your fingertips
� See more product details",,Vogel 302438 comp�s de interiores de patas planas din 6482 medida 500 mm.,142505420,eng
"For Chicago Pneumatic and many other compressed air machines.
Length: 97 mm. Height: 12.5 mm.
24""
� See more product details",,,142505076,eng
"About this item
8 Gigabit ports with PoE+ technology to send data and power over the same RJ-45 Ethernet LAN data network cable to PoE compatible devices such as WiFi access points, IP cameras or IP phones.
Standard 802.3at PoE+ to supply up to 30W per port and a total of 125W PoE Budget. Perfect for deploying WiFi access points easily without the need for power supplies.
Unmanaged switch to be the network end or access switch and unmanaged for easy deployment.
2 Gigabit uplink ports, one SFP for long distance fiber connections and the other copper LAN standard.
Metal housing, without fans, with rack mounting kit included.
� See more product details",,,142530701,eng
"Quality and precision at your fingertips
� See more product details",,Vogel-322512.2-Transportador de �ngulos. Cuadrante � 120xlargo 150 mm,142505421,spa
"Quality and precision at your fingertips
� See more product details",,"Adecuado para empresa, oficina, tienda, supermercado, tiendas, exposici�n de arte, hogar, letrero publicitario y cartelera.",142505422,spa
"Quality and precision at your fingertips
� See more product details",,"Record-465010-r.strip calb.inox 2500x150x0,01.",142505424,eng
"Quality and precision at your fingertips
� See more product details",,"Record-465040-r.fleje calb.inox 2500x150x0,04.",142505428,eng
"Quality and precision at your fingertips
� See more product details",,"Record-465080-r.fleje calb.inox 2500x150x0,08.",142505427,eng
"Quality and precision at your fingertips
� See more product details",,"Record-465090-r.fleje calb.inox 2500x150x0,09.",142505429,eng
"Producto de calidad
F�cil de usar
Material duradero
Producto creado tanto para aficionados como para profesionales
� See more product details",,"Record-465200-r.fleje calb.inox 2500x150x0,20.",142505434,spa
"About this item
Quality and precision at your fingertips
� See more product details",,"Record-465800-r.strip calb.inox 2500x150x0,80.",142505442,eng
"About this item
Quality and precision at your fingertips
� See more product details",,"Record-463150-r.strip calb.inox 2500x25x0,15.",142505454,eng
"About this item
Quality and precision at your fingertips
� See more product details",,"RECORD-463400-R.strap calb.inox 2500x25x0,40",142505460,eng
"Quality and precision at your fingertips
� See more product details",,"Record-464040-r.strip calb.inox 2500x50x0,04.",142505469,eng
"Quality and precision at your fingertips
� See more product details",,"Record-464090-r.fleje calb.inox 2500x50x0,09.",142505473,eng
"About this item
Quality and precision at your fingertips
� See more product details",,"RECORD-464100-R.strap calb.inox 2500x50x0,10",142505471,eng
"About this item
Quality and precision at your fingertips
� See more product details",,"Record-464400-r.strip calb.inox 2500x50x0,40.",142505479,eng
"Quality and precision at your fingertips
� See more product details",,Record-462010-r.calb.brass strapping 2500x150x0.01.,142505395,eng
"About this item
Quality and precision at your fingertips
� See more product details",,Record-462020-r.calb.brass strapping 2500x150x0.02.,142505396,eng
