_archivo,ean,modelo,url,title,price,mainImage,allMainImages,description,desc,desc2
B000J3X9CY.json,B000J3X9CY,142560424,https://www.amazon.co.uk/dp/B000J3X9CY,Waterman Expert Fountain Pen | Stainless Steel with Chrome Trim | Medium Nib | Gift Box,£88.19,https://m.media-amazon.com/images/I/91If6kSXMZL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91If6kSXMZL._AC_SL1500_.jpg,"About this item
Generous silhouette for premium, executive styling and supreme comfort when writing
Sophisticated brushed stainless steel body, palladium plated trim and clip, and broad ring embellished with the brand name
Smooth, consistent, skilfully constructed stainless steel nib engraved with the iconic Waterman emblem
Meticulously crafted in France to enhance your signature style
Presented in a premium dark blue Waterman gift box; ideal for celebrating graduations, promotions and new jobs
› See more product details",,
B000O8D2Z8.json,B000O8D2Z8,142576959,https://www.amazon.co.uk/dp/B000O8D2Z8,Jabsco 50070 Series Marine Impeller Puller,£176.99,https://m.media-amazon.com/images/I/510o+QX7U+L._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/510o+QX7U+L._AC_SL1000_.jpg,"About this item
Simple to use
Fits ALL makes of impeller
Avoids damage to the pump
All stainless steel",,
B000PJABFK.json,B000PJABFK,142586843,https://www.amazon.es/dp/B000PJABFK,DIGITUS Cable Guide Bracket 44 x 100 mm - 10 Pieces - Network Cabinet 19 Inches - Cable Management - Grey,€26.90,https://m.media-amazon.com/images/I/61UqZVqqB6L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61UqZVqqB6L._AC_SL1500_.jpg,"About this item
Cable management rings play the role of cable ducts in the server cabinet. Network cables can be easily added or removed from the harness when you change settings.
It makes sense to place some guide brackets up, down, and in the center as fixed points in the cabinet. Two central management rings above and below cable ducts or patch panels are also conceivable.
The rings, which are made of robust sheet steel, can be screwed to a height unit. In network cabinets, profiled rails are usually located at the front and at the rear of the cabinet.
In addition to patch and fiber optic cables, power lines can also be optimized with cable routing. Like cable routing panels, guide brackets can also be used in control cabinets.
A sales unit always contains 10 manoeuvring brackets and the necessary fixing material such as cage nuts and bolts.
› See more product details",,
B000PJC446.json,B000PJC446,142586839,https://www.amazon.es/dp/B000PJC446,"DIGITUS Document Tray and Keyboard Tray, 19 Inch, 1U, Variable Installation Depth, for Network Cabinets and Server Racks, Lockable, Gray",€79.06,https://m.media-amazon.com/images/I/71Esf3p0qIL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71Esf3p0qIL._AC_SL1500_.jpg,"About this item
Quality product
Easy to use
Durable Material
Product created for both amateurs and professionals
› See more product details",,
B000SHPZQY.json,B000SHPZQY,142560260,https://www.amazon.co.uk/dp/B000SHPZQY,"rOtring Isograph Fineliner Pen & Pencil College Set | 3 Technical Pens (0.25mm, 0.35mm, 0.50mm) and Mechanical Pencil (0.5mm) + Accessories",£58.97,https://m.media-amazon.com/images/I/7115JMgL90L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/7115JMgL90L._AC_SL1500_.jpg,"About this item
3-pen set of high-precision technical pens with 0.25 mm, 0.35 mm and 0.5 mm tips
Wear-resistant, hard chrome-plated thin tip allows exquisite detail work
0.5 mm Tikky mechanical pencil is lightweight for all day writing and high-polymer leads are strong and flexible
23 ml of ink is made of high density pigment particles for opacity and lightfastness
B20 eraser rubs out without smears and marks, and the compass attachment is great for versatile use
› See more product details",,
B000SO0OD6.json,B000SO0OD6,142560217,https://www.amazon.co.uk/dp/B000SO0OD6,rOtring Profil Drawing Board | A3 Size Drawing Table | with Adjustable Ruler/Guidelines,EUR80.63,https://m.media-amazon.com/images/I/719UMJ7AkjL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/719UMJ7AkjL._AC_SL1500_.jpg,"About this item
Robust board of unbreakable, non-warping material for durability
The L-system, straight edge design allows drawing along the top edge of the straight-edge right down to the bottom of the sheet
Parallel straight edge with Stop-and-Go mechanism for added stability
One magnetic clamp strip with automatic hold-open and additional corner clamp for easy positioning and clamping the media
Guide rails designed for permanently smooth, featherlight straight-edge movement; Media-size markings and viewing holes for checking the exact placement of the media.
› See more product details",,
B000T9L8CQ.json,B000T9L8CQ,142596966,https://www.amazon.es/dp/B000T9L8CQ,"Sennheiser HSP 4-EW-3 Microphone (40-20000 Hz, Uni, 1000 Ohm, Wired, 3.5 mm, 1.6 m)",€660.73,https://m.media-amazon.com/images/I/713hhpan0mL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/713hhpan0mL._AC_SL1500_.jpg,"About this item
Clip
› See more product details",,"Beige Beige steel cable with 3.5 mm clincher. Geeignet für die Sennheiser Taschensender Evolution Wireless SK 100, SK 300 und SK 500. Läßt sich für drahtgebundenen Betrieb mit dem intelligenten Mikrofonspeiseadapter MZA 900 P betreiben.

High quality condenser headset microphone with cardioid picker pattern, designed for professional ""hands-free"" applications. The adjustable collar is visually discreet and very comfortable in use. The six available variants of the HSP 4 differ in color and connector.

Features

- Excellent rejection of feedback
- Microphone includes a detachable cover as an integral popping shield - no external wind shield required
- Individually adjustable to all sizes of users' heads.
- Collar design keeps microphone separate from shirt collar or clothing
- Twist-proof microphone boom (Ø 2 mm), can be attached to the left or right side
- Microphone boom is adjustable in length and angle
- Flexible goose neck section
- The connection cable can be easily exchanged
- All metal parts are covered by a physical process of steam removal
- Can also be used with the omni-directional HSP 2 boom microphone
Other Features:
Connector(s): 3.5 mm.
Power consumption: 0.25 mA
Microphone frequency: 40 - 20000 Hz
Cable length: 1.6m
Microphone input impedance: 1000 Ohm
Weight: 9 g
Connectivity technology: Wired
Microphone direction type: Uni
Operating voltage: 4.5V"
B000W0KT86.json,B000W0KT86,142215154,https://www.amazon.co.uk/dp/B000W0KT86,"Trimax Universal Stainless Steel Receiver Lock - Fits 1/2"" & 5/8"" With Sleeve SXTS32, Clam Packaging",,https://m.media-amazon.com/images/I/617lbTXckOS._AC_SL1160_.jpg,https://m.media-amazon.com/images/I/617lbTXckOS._AC_SL1160_.jpg,"TRIMAX Corporation is the world's leading lock manufacturer providing customers' high quality products through innovative design
Clam Packaging
Fits 1/2"" & 5/8"" with Sleeve SXTS32
Package Dimensions: 23.622 L x 2.794 H x 12.954 W (centimeters)
› See more product details",,"Trimax SXTS32 Dare to compare! TRIMAX, the leader in Receiver Locking Pins, has spent the last 10 years expanding and improving on the ""ORIGINAL."" The Patented Dual Lock Lug Design offers over 5,800 lbs. of head pull strength. A 1/4 turn of the rugged tube key locks & unlocks the strongest locking pin on the market. Don't settle for low quality knockoffs! The SXTS32 converts from a 1/2"" to a 5/8"" pin with a stainless steel sleeve and features premium 100% stainless steel. Provides instant security for your camper, boat or trailer by securing your vehicle trailer hitch. No internal springs to seize or brake. Knurling on lock heads adds style and grip and is machined from 100% solid forged steel. Double headed or ""dog bone"" style design. Width between heads (exposed pin length or gap space) is 2-5/8"". A receiver pin is used to secure the receptacle part of a trailer hitch (attached to a vehicle) to inserts such as ball mounts, drawbars, accessory carriers or ornamental receiver plugs. The most common receiver pins are 1/2"" and 5/8"" in diameter. Class II receiver hitches have 1-1/4"" receptacles and use 1/2"" pins. Class III, IV and V receiver hitches have 2"" receptacles and use 5/8"" pins. TRIMAX makes the world's toughest locks. Through value added engineering design, TRIMAX is committed to product innovation that holds up to the highest quality standards. TRIMAX provides maximum security for marine, trailer and tow, RV, performance truck, power sports and bicycle applications. Tested. Tough. TRIMAX. TRIMAX offers a lifetime warranty on all of their products."
B000WJDY2K.json,B000WJDY2K,142568020,https://www.amazon.co.uk/dp/B000WJDY2K,"Puig 4362 W Dome Standard Suzuki GSX-R1000 07-08, clear/clear",£82.99,https://m.media-amazon.com/images/I/41RpzfiXnlL._AC_SL1001_.jpg,https://m.media-amazon.com/images/I/41RpzfiXnlL._AC_SL1001_.jpg,"About this item
Frame and Parts
Spoiler & Flügel
Transparent/clear
› See more product details",,
B000WL02AK.json,B000WL02AK,142586840,https://www.amazon.es/dp/B000WL02AK,"DIGITUS Document Tray and Keyboard Tray, 19 Inch, 1U, Variable Installation Depth, for Network Cabinets and Server Racks, Lockable, Black",€78.90,https://m.media-amazon.com/images/I/61qDpPUC71L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61qDpPUC71L._AC_SL1500_.jpg,"About this item
lockable
For fixing 483 mm (19"") profile rails
Robust sheet steel
Includes mounting kit for fixing the profile
Units: 1
› See more product details",,
B000YC2V8S.json,B000YC2V8S,142586826,https://www.amazon.es/dp/B000YC2V8S,"DIGITUS Network Cabinet, 19 Inch Rack, 12U, Wall Mounted, Depth 600 mm, Load Capacity 100 kg, Single Series, Grey",€259.00,https://m.media-amazon.com/images/I/61zcY1Y-rBL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61zcY1Y-rBL._AC_SL1500_.jpg,"About this item
High Quality 19"" Wall Mount Server Distribution Cabinet with Clear Polycarbonate Panel
Lockable server cabinet for perfect wiring and more order, powder coated
Cable entry at back and bottom, other easy to install accessories, ventilation slots
Detachable side panels of the net cabinet, made of heavy duty steel sheet, two 19"" profile rails.
Housing with mounting screw set, ideal for home and office, protection type IP20
› See more product details",,
B000Z20THC.json,B000Z20THC,142586846,https://www.amazon.es/dp/B000Z20THC,"Digitus Fixed Shelf 19"" Server Rack Box Grey",€34.90,https://m.media-amazon.com/images/I/610AZbk+VnL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/610AZbk+VnL._AC_SL1500_.jpg,"About this item
Ideal for installable components other than 483 mm (19"")
Slim design requires only 1 rack unit
Colour: grey (RAL 7035)
Load capacity: 100 kg
Quick and easy assembly or disassembly
› See more product details",,
B000Z2NXOI.json,B000Z2NXOI,142586848,https://www.amazon.es/dp/B000Z2NXOI,"DIGITUS Professional DN-19 TRAY-2-1000 Pull Out Shelves for Cabinets 483 mm (19"") - Front and Rear Accessory, Load 65 kg, from 1000 mm Depth, 1 Units Height, Grey",€141.07,https://m.media-amazon.com/images/I/51P+cem1jWL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51P+cem1jWL._AC_SL1500_.jpg,"About this item
Removable perforated shelf with fixed mounting depth
Height: 1U --> Mounting points: front and rear
Dimensions (H x W x D): 50 x 483 x 720 mm
Load capacity: 65 kg
Fits in cabinets from a depth of: 1000 mm
› See more product details",,
B000ZELZFA.json,B000ZELZFA,142505400,https://www.amazon.es/dp/B000ZELZFA,Format 7644960100 – Brass metal foil 150 x 2500 x 0.1 mm record,€62.09,https://m.media-amazon.com/images/I/514Voi9fyTL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/514Voi9fyTL._AC_SL1000_.jpg,"About this item
EAN: 4031177003224
› See more product details",,"Metal with brass lampshade (ms 63) in plastic boxes, which can be joined and stacked, screen band 150 x 2500 mm. For tool appliances set up, adjust, thickness tolerances, adjust inferiority devices, create shapes, storage set, etc. compensate tolerances brass, stainless steel). Tolerance material 0-0.02mm 0.001mm thickness: 0.05-0.05mm 0.001mm 0.05-0.18mm 0.000mm, 0.2-0.3mm 0.01mm 0.002 – 0.5mm 0.01mm"
B0010Y4IKS.json,B0010Y4IKS,142586847,https://www.amazon.es/dp/B0010Y4IKS,Assmann Digitus DN 19 TRAY Shelf for Network Cabinets,€47.65,https://m.media-amazon.com/images/I/61AkXJsBtvL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61AkXJsBtvL._AC_SL1500_.jpg,"About this item
Ideal for installable components other than 483 mm (19"")
Slim design requires only 1 rack unit
Colour: black (RAL 9005)
Load capacity: 100 kg
Quick and easy assembly or disassembly
› See more product details",,
B0010Y8D6S.json,B0010Y8D6S,142586850,https://www.amazon.es/dp/B0010Y8D6S,"DIGITUS Professional DN-19 TRAY-2-600 Pull Out Shelves for Cabinets 483 mm (19"") - Front and Rear Accessory, Load 25 kg, from 600 mm Depth, 1 Units Height, Grey",€60.39,https://m.media-amazon.com/images/I/51zG+j-71nL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51zG+j-71nL._AC_SL1500_.jpg,"About this item
VERSATILE STORAGE - The 1U rack offers space for devices such as routers, modems, AV accessories, mini PCs, NUC, KVM switches, power supplies and NAS that do not have their own mounting option in 19"" format
Simple installation: the server rack attaches to the front and back of the 19"" profile rails of the network cabinet and requires only one unit height (1U)
Convenient access: thanks to the included handle, the rack can be removed from the computer rack like a drawer and allows easy access and efficient maintenance of network devices
Flexible adjustment: the depth of the mounting rails of the shelf compartment can be variably adjusted between 300mm and 530mm
PRECISE DIMENSIONS - The outer dimensions of the entire shelving unit are 40 x 482 x 368 mm (HxWxD); the rack shelf fits into DIGITUS 19-inch network cabinets starting from a depth of 600mm
OPTIMIZED VENTILATION - 19"" shelf perforation allows unobstructed air circulation in the server cabinet, contributing to cooling devices
Robust and robust: the 19 inch shelving unit is made of high-quality sheet steel and supports a load of up to 25 kg - screws, cage nuts and washers included in the delivery
› See more product details",,
B0013HPEXM.json,B0013HPEXM,142583424,https://www.amazon.es/dp/B0013HPEXM,"Poly-Planar PAR Altavoces Platinium 255MM X 159MM PPMA5500W, Other, Multicolor, One Size",,https://m.media-amazon.com/images/I/71zgqx9L0yL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/71zgqx9L0yL._AC_SL1000_.jpg,,"Product Dimensions ‏ : ‎ 27.18 x 13.97 x 17.27 cm; 1 kg
Date First Available ‏ : ‎ 8 Aug. 2012
ASIN ‏ : ‎ B0013HPEXM
Item model number ‏ : ‎ MA5500
Guaranteed software updates until ‏ : ‎ unknown
Customer reviews: 4.8 
4.8 out of 5 stars
    3 ratings",
B001CODR4E.json,B001CODR4E,142580169,https://www.amazon.es/dp/B001CODR4E,Thule Tiempo Libre y Sportwear de Portaequipaje Marca Unisex Adulto,€52.36,https://m.media-amazon.com/images/I/81wmYYZvLIL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81wmYYZvLIL._AC_SL1500_.jpg,"Kit adaptador personalizado
Para montar un sistema de portaequipajes en vehículos seleccionados
Modelo de color negro",,"Thule 1201 Kit de Montaje para bacas, con un ajuste óptimo y fácil de montar con una mano sin herramientas."
B001CODR8A.json,B001CODR8A,142580175,https://www.amazon.es/dp/B001CODR8A,Thule 1265 - Kit de Montaje para Base de baca Rapid (fijación 750),€52.91,https://m.media-amazon.com/images/I/81AgW9-ZzbL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81AgW9-ZzbL._AC_SL1500_.jpg,"Fácil montaje con una mano sin herramientas
Barniz Protección óptima gracias Pebax revestimiento de la escuadras
Deslizante máxima seguridad mediante la placa TPE de pie estable
Ajuste óptimo
Fácil montaje con un mango de mano – sin necesidad de herramientas","Product details
Is discontinued by manufacturer ‏ : ‎ No
Package Dimensions ‏ : ‎ 15.6 x 15.6 x 7.6 cm; 898.11 g
Date First Available ‏ : ‎ 7 April 2012
Manufacturer ‏ : ‎ Thule
ASIN ‏ : ‎ B001CODR8A
Item model number ‏ : ‎ TH1265","Kit adaptador personalizado para montar un sistema de portaequipajes, marca Thule. Las piezas tienen un diseño compacto con base de goma protectora y se pueden montar fácil sin herramientas."
B001CODRAI.json,B001CODRAI,142580178,https://www.amazon.es/dp/B001CODRAI,Thule 1346 Kit Audi A6 04>,€51.68,https://m.media-amazon.com/images/I/81pTsGfpvhS._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81pTsGfpvhS._AC_SL1500_.jpg,"PURO Cable Apple iPod/iPhone/iPad Color blanco
para pies Thule 754",,
B001COIXR0.json,B001COIXR0,142580160,https://www.amazon.es/dp/B001COIXR0,Thule 1057 - Kit de Montaje para bacas Rapid,€51.68,https://m.media-amazon.com/images/I/41txW7OtU-L._AC_.jpg,https://m.media-amazon.com/images/I/41txW7OtU-L._AC_.jpg,"CRUZBER
Distribuidores oficiales de Thule Spain
1 año de garantia
Envío rápido con Seur","Product details
Product Dimensions ‏ : ‎ 160 x 160 x 75 cm; 798.32 g
Date First Available ‏ : ‎ 14 April 2012
Manufacturer ‏ : ‎ Thule
ASIN ‏ : ‎ B001COIXR0
Item model number ‏ : ‎ TH1057",CRUZBER
B001EIAVJM.json,B001EIAVJM,142561921,https://www.amazon.de/dp/B001EIAVJM,Horn Chain Guard Catena 06 -,€10.35,https://m.media-amazon.com/images/I/41hXr-14gDL._AC_SL1100_.jpg,https://m.media-amazon.com/images/I/41hXr-14gDL._AC_SL1100_.jpg,"About this item
Adjustable length
Single blade
Can be used for cranks with a maximum of 38 teeth on the largest chainring",,
B001F0VG6Q.json,B001F0VG6Q,142586842,https://www.amazon.es/dp/B001F0VG6Q,"DIGITUS Document Tray and Keyboard Tray, 19 Inch, 3U, Variable Installation Depth, for Network Cabinets and Server Racks, Lockable, Black",€91.80,https://m.media-amazon.com/images/I/41ITLgfk9eL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/41ITLgfk9eL._AC_SL1000_.jpg,"About this item
lockable
For fixing 483 mm (19"") profile rails
Robust sheet steel
Includes mounting kit for fixing the profile
Units: 3
› See more product details",,
B001GDJFVA.json,B001GDJFVA,142586827,https://www.amazon.es/dp/B001GDJFVA,DIGITUS Network cabinet - 19 inch rack - 12UA - wall mounting - depth 600 mm - load capacity 60 kg - Dynamic Basic series - grey,€191.45,https://m.media-amazon.com/images/I/51kQDdGWlSL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51kQDdGWlSL._AC_SL1500_.jpg,"About this item
High Quality 19"" Wall Mounted Server Cabinet with Lockable Security Glass Door
Particularly stable wall cabinet for perfect wiring and more order, powder coated
Top and bottom cable entry, 2 x 19"" (483mm) variable depth profile rails, grounding points
The side doors of the mural are removable, made of durable sheet steel
Sturdy housing includes mounting screw set, ideal for home and office use
› See more product details",,
B001W1038A.json,B001W1038A,142560264,https://www.amazon.co.uk/dp/B001W1038A,"rOtring Isograph Technical Pen Master Set | 3 Fineliners (0.10mm, 0.30mm, 0.50mm), Mechanical Pencil (0.5mm), Compass & Accessories | 10-Piece Set in Case",£64.09,https://m.media-amazon.com/images/I/71pCGUokD1L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71pCGUokD1L._AC_SL1500_.jpg,"About this item
Three high precision Isograph technical pens with 0.1 mm, 0.3 mm and 0.5 mm hard chrome-plated thin tip
The Isograph pens feature a refillable ink reservoir ideal for frequent drawers using bottle ink
Features push on sleeve for easy access to the ink helix for fast cleaning
One lightweight Tikky mechanical pencil with refill lead pack is designed for everyday drawing
One Centro compass to help develop precise and right designs
› See more product details",,
B0025UGY7Q.json,B0025UGY7Q,142533470,https://www.amazon.es/dp/B0025UGY7Q,"Jagwire Cable Guide Stopper for 5mm Housings - Black (10pcs) - WS - Brake Hose for Bicycles, Black, Size 5 mm",€11.99,https://m.media-amazon.com/images/I/41JSpQ0ht+S._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/41JSpQ0ht+S._AC_SL1200_.jpg,"About this item
Quality product
Easy to use
Durable Material
Product created for both amateurs and professionals","Product details
Product Dimensions ‏ : ‎ 7.62 x 5.08 x 2.54 cm; 10 g
Date First Available ‏ : ‎ 7 Aug. 2012
Manufacturer ‏ : ‎ Jagwire
ASIN ‏ : ‎ B0025UGY7Q
Item model number ‏ : ‎ Cable Stops
Country of origin ‏ : ‎ Taiwan
Best Sellers Rank: 86,019 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
117 in Brake Hoses
Customer reviews: 4.4 
4.4 out of 5 stars
    76 ratings","From a rainbow of cable housings and brake pads to sleek gearbox mounts, Jagwire helps you turn your career into a rotating gallery of self-expression. Jagwire has an uncompromising commitment to quality, constantly testing, pressing and abusing our pads, housings and brake cables in extreme conditions."
B002OMY9S6.json,B002OMY9S6,142586852,https://www.amazon.es/dp/B002OMY9S6,DIGITUS Rack - Variable depth - For fixed installation - 19 inches - 1U - Load capacity 50 kg - For network and server cabinets - From 1000 mm cabinet depth - Black,€42.90,https://m.media-amazon.com/images/I/61rCn6EXWDL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61rCn6EXWDL._AC_SL1500_.jpg,"About this item
Ideal for installable components other than 483 mm (19"")
Slim design requires only 1 rack unit
Colour: black (RAL 9005)
Load capacity: 50 kg
Quick and easy assembly or disassembly
› See more product details",,
B002RIF0AS.json,B002RIF0AS,142586828,https://www.amazon.es/dp/B002RIF0AS,"DIGITUS Network Cabinet, 19 Inch Rack, 20U, Wall Mounted, Rotary, Load Capacity 100 kg, Single Series, Grey",€528.02,https://m.media-amazon.com/images/I/51ZPsM-AlhS._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51ZPsM-AlhS._AC_SL1500_.jpg,"About this item
DIGITUS WALL MOUNTING CABINERACK
Package weight: 121.297 pounds
Package Dimensions: 99.0 L x 63.5 H x 65.0 W (centimeters)
Durable Material
› See more product details",,
B002RII5SW.json,B002RII5SW,142586849,https://www.amazon.es/dp/B002RII5SW,"DIGITUS Professional DN-19 TRAY-2-55-SW Shelving Unit for 483 mm (19 Inches) Cabinets - Attached in Front, Load 25 kg, from 800 mm Depth, 2 Units Height, Black",€52.19,https://m.media-amazon.com/images/I/51J8+-TXHVL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/51J8+-TXHVL._AC_SL1200_.jpg,"About this item
Ideal for installable components other than 483 mm (19"")
Slim design requires only 2 rack units
Colour: black (RAL 9005)
Load capacity: 25 kg
Quick and easy assembly or disassembly
› See more product details",,
